trade_date,sign_r1,sign_r12,sign_r1_r12,weight_r1,weight_r12,weight_r1_r12,enh_r1_r12_ma40_trend_only,enh_r12_ma40_trend_only,enh_r12_ma20_trend_only
2025-07-01,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-02,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-04,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-07,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-08,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-09,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-11,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-14,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-15,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-16,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-18,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-21,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-22,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-23,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-24,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-25,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-28,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-29,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-30,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-07-31,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-08-01,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-04,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-06,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-08-07,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-08-08,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-08-11,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-13,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-08-14,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-08-15,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-18,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-08-19,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-21,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-08-22,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-26,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2025-08-27,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0
2025-08-28,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-29,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-01,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2025-09-04,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2025-09-05,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-08,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2025-09-09,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-10,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2025-09-11,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-12,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2025-09-15,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2025-09-16,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2025-09-17,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2025-09-18,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2025-09-19,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-22,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2025-09-23,1.0,-1.0,0.0,1.5,1.5,1.5,0.0,-1.0,-1.0
2025-09-24,1.0,-1.0,0.0,1.5,1.5,1.5,0.0,-1.0,-1.0
2025-09-25,-1.0,1.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-09-26,-1.0,1.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-09-29,-1.0,-1.0,-1.0,1.5,1.5,1.5,-1.0,-1.0,-1.0
2025-09-30,-1.0,-1.0,-1.0,0.5135397817921944,1.5,1.5,-1.0,-1.0,-1.0
2025-10-09,-1.0,1.0,0.0,1.5,-0.5,-0.5,0.0,0.0,0.0
2025-10-10,1.0,-1.0,0.0,1.5,1.5,1.5,0.0,-1.0,-1.0
2025-10-13,-1.0,1.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-10-14,1.0,-1.0,0.0,1.5,1.5,1.5,0.0,-1.0,-1.0
2025-10-15,1.0,1.0,1.0,1.5,-0.5,-0.5,0.0,0.0,1.0
2025-10-16,1.0,1.0,1.0,1.5,0.24032085125701608,0.18459481118132098,0.0,0.0,1.0
2025-10-17,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-10-20,-1.0,-1.0,-1.0,1.5,1.5,1.5,-1.0,-1.0,0.0
2025-10-21,1.0,-1.0,0.0,1.5,1.5,1.5,0.0,-1.0,0.0
2025-10-22,1.0,1.0,1.0,1.5,-0.5,-0.5,0.0,0.0,1.0
2025-10-23,1.0,1.0,1.0,1.5,1.5,1.3637994112081757,1.0,1.0,1.0
2025-10-24,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-10-27,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-10-28,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-10-29,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-10-30,1.0,-1.0,0.0,1.5,1.5,1.5,0.0,-1.0,0.0
2025-10-31,-1.0,1.0,0.0,1.5,1.5,1.5,0.0,0.0,1.0
2025-11-03,1.0,1.0,1.0,1.5,-0.37864444228720506,-0.5,0.0,0.0,0.0
2025-11-04,1.0,-1.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-11-05,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-11-06,1.0,-1.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-11-07,1.0,-1.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-11-10,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-11-11,-1.0,1.0,0.0,1.5,1.5,1.5,0.0,1.0,1.0
2025-11-12,1.0,1.0,1.0,1.5,1.5,1.5,1.0,1.0,1.0
2025-11-13,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-11-14,1.0,-1.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-11-17,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-11-18,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-11-19,1.0,1.0,1.0,1.5,-0.5,-0.5,1.0,1.0,1.0
2025-11-20,1.0,-1.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-11-21,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-11-24,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-11-25,1.0,1.0,1.0,-0.5,-0.5,-0.5,1.0,1.0,1.0
2025-11-26,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-11-27,-1.0,1.0,0.0,1.5,-0.5,-0.5,0.0,1.0,1.0
2025-11-28,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,0.0
2025-12-01,-1.0,1.0,0.0,1.5,-0.5,-0.5,0.0,1.0,0.0
2025-12-02,-1.0,1.0,0.0,1.5,1.5,1.3007505992983894,0.0,1.0,1.0
2025-12-03,1.0,-1.0,0.0,1.5,1.5,1.5,0.0,0.0,-1.0
2025-12-04,-1.0,-1.0,-1.0,1.5,1.5,1.5,0.0,0.0,-1.0
2025-12-05,1.0,1.0,1.0,1.4154088420450666,1.5,0.7190303952192101,0.0,0.0,0.0
2025-12-08,-1.0,-1.0,-1.0,1.5,1.5,1.5,-1.0,-1.0,-1.0
2025-12-09,-1.0,-1.0,-1.0,1.5,1.5,1.5,-1.0,-1.0,-1.0
2025-12-10,-1.0,1.0,0.0,1.5,1.2902409139264774,1.5,0.0,0.0,0.0
2025-12-11,1.0,1.0,1.0,0.035135074941977,0.5106724474729064,-0.31463798334698,0.0,0.0,0.0
2025-12-12,1.0,-1.0,0.0,-0.4179287078048929,0.7984494403554802,-0.4302067814136675,0.0,-1.0,-1.0
2025-12-15,1.0,1.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0
2025-12-16,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0
2025-12-17,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0
2025-12-18,1.0,1.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0
2025-12-19,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0
2025-12-22,-1.0,-1.0,-1.0,0.525280385938188,-0.5,0.8166143137785754,0.0,0.0,0.0
2025-12-23,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0
2025-12-24,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,0.0
2025-12-25,1.0,-1.0,0.0,-0.5,-0.5,-0.5,0.0,-1.0,0.0
2025-12-26,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,0.0
2025-12-29,1.0,-1.0,0.0,-0.5,-0.5,-0.5,0.0,-1.0,0.0
2025-12-30,-1.0,-1.0,-1.0,1.5,-0.5,1.5,-1.0,-1.0,0.0
2025-12-31,-1.0,1.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.0
2026-01-05,1.0,1.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0
2026-01-06,1.0,1.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,1.0
2026-01-07,1.0,-1.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.0
2026-01-08,-1.0,-1.0,-1.0,1.5,-0.5,1.5,0.0,0.0,0.0
2026-01-09,-1.0,1.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.0
2026-01-12,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0
2026-01-13,1.0,-1.0,0.0,-0.5,-0.5,-0.5,0.0,-1.0,-1.0
2026-01-14,-1.0,-1.0,-1.0,1.5,-0.5,1.5,-1.0,-1.0,-1.0
2026-01-15,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0
2026-01-16,-1.0,-1.0,-1.0,0.15945823005966142,-0.5,0.4769170390989149,-1.0,-1.0,-1.0
2026-01-19,-1.0,-1.0,-1.0,0.6664501266093956,-0.5,0.6443571777506019,-1.0,-1.0,-1.0
2026-01-20,1.0,1.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0
2026-01-21,-1.0,-1.0,-1.0,0.35336913158227806,-0.4783492987955026,1.5,-1.0,-1.0,-1.0
2026-01-22,1.0,1.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0
2026-01-23,1.0,-1.0,0.0,-0.5,-0.5,-0.5,0.0,-1.0,-1.0
2026-01-26,-1.0,-1.0,-1.0,1.2262990219385288,-0.5,1.2899360650027796,-1.0,-1.0,-1.0
2026-01-27,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0
2026-01-28,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0
2026-01-29,-1.0,1.0,0.0,0.6471044669164191,0.2102302958547103,1.5,0.0,0.0,0.0
