时间,开,高,低,收,成交量,成交额,涨跌,涨跌百分比,振幅,持仓量,ma1,ma2,ma3,ma4
2025/06/27 14:30,6.3900,6.4000,6.3800,6.4000,34234.0000,21878818.0000,0.0100,0.0016,0.0031,13.0000,nan,nan,nan,nan
2025/06/27 15:00,6.3900,6.4000,6.3800,6.3900,88075.0000,56284558.0000,-0.0100,-0.0016,0.0031,15.0000,nan,nan,nan,nan
2025/06/30 10:00,6.4000,6.4300,6.3900,6.4100,153844.0000,98499741.6000,0.0200,0.0031,0.0063,13.0000,nan,nan,nan,nan
2025/06/30 10:30,6.4000,6.4500,6.3900,6.4200,133518.0000,85708315.6500,0.0100,0.0016,0.0094,13.0000,nan,nan,nan,nan
2025/06/30 11:00,6.4300,6.4300,6.4100,6.4200,37839.0000,24282989.4100,0.0000,0.0000,0.0031,13.0000,6.4080,nan,nan,nan
2025/06/30 11:30,6.4100,6.4200,6.4000,6.4000,33001.0000,21152216.1900,-0.0200,-0.0031,0.0031,14.0000,6.4080,nan,nan,nan
2025/06/30 13:30,6.4100,6.4300,6.4000,6.4200,66106.0000,42392792.0000,0.0200,0.0031,0.0047,13.0000,6.4140,nan,nan,nan
2025/06/30 14:00,6.4100,6.4300,6.4100,6.4300,41734.0000,26784051.0000,0.0100,0.0016,0.0031,13.0000,6.4180,nan,nan,nan
2025/06/30 14:30,6.4200,6.4300,6.4100,6.4200,38888.0000,24957704.2000,-0.0100,-0.0016,0.0031,13.0000,6.4180,nan,nan,nan
2025/06/30 15:00,6.4100,6.4300,6.4100,6.4200,99143.0000,63618217.6000,0.0000,0.0000,0.0031,15.0000,6.4180,6.4130,nan,nan
2025/07/01 10:00,6.4200,6.4200,6.3600,6.3800,141781.0000,90451659.7700,-0.0400,-0.0062,0.0093,13.0000,6.4140,6.4110,nan,nan
2025/07/01 10:30,6.3900,6.3900,6.3600,6.3700,65220.0000,41537700.2700,-0.0100,-0.0016,0.0047,13.0000,6.4040,6.4090,nan,nan
2025/07/01 11:00,6.3700,6.3800,6.3400,6.3500,95250.0000,60548848.9600,-0.0200,-0.0031,0.0063,13.0000,6.3880,6.4030,nan,nan
2025/07/01 11:30,6.3400,6.3500,6.3100,6.3400,106297.0000,67314265.0000,-0.0100,-0.0016,0.0063,14.0000,6.3720,6.3950,nan,nan
2025/07/01 13:30,6.3300,6.3600,6.3300,6.3500,40323.0000,25569405.0000,0.0100,0.0016,0.0047,13.0000,6.3580,6.3880,nan,nan
2025/07/01 14:00,6.3600,6.3700,6.3500,6.3600,58069.0000,36920673.6800,0.0100,0.0016,0.0031,13.0000,6.3540,6.3840,nan,nan
2025/07/01 14:30,6.3600,6.3700,6.3500,6.3500,38201.0000,24289746.3200,-0.0100,-0.0016,0.0031,13.0000,6.3500,6.3770,nan,nan
2025/07/01 15:00,6.3600,6.3600,6.3500,6.3500,53177.0000,33784682.0000,0.0000,0.0000,0.0016,15.0000,6.3500,6.3690,nan,nan
2025/07/02 10:00,6.3600,6.3800,6.3400,6.3500,130620.0000,83052336.3000,0.0000,0.0000,0.0063,13.0000,6.3520,6.3620,nan,nan
2025/07/02 10:30,6.3500,6.3800,6.3500,6.3600,62575.0000,39825082.5700,0.0100,0.0016,0.0047,13.0000,6.3540,6.3560,6.3845,nan
2025/07/02 11:00,6.3600,6.4200,6.3600,6.4200,152552.0000,97524340.0000,0.0600,0.0094,0.0094,13.0000,6.3660,6.3600,6.3855,nan
2025/07/02 11:30,6.4100,6.4200,6.3900,6.4000,67289.0000,43106025.0000,-0.0200,-0.0031,0.0047,14.0000,6.3760,6.3630,6.3860,nan
2025/07/02 13:30,6.4000,6.4700,6.3900,6.4600,271502.0000,174761329.3900,0.0600,0.0094,0.0125,13.0000,6.3980,6.3740,6.3885,nan
2025/07/02 14:00,6.4600,6.4600,6.4300,6.4400,119477.0000,77056173.8000,-0.0200,-0.0031,0.0046,13.0000,6.4160,6.3840,6.3895,nan
2025/07/02 14:30,6.4300,6.4500,6.4300,6.4400,81111.0000,52248023.0000,0.0000,0.0000,0.0031,13.0000,6.4320,6.3930,6.3905,nan
