时间,开,高,低,收,成交量,成交额,涨跌,涨跌百分比,振幅,持仓量,ma1,ma2,ma3,ma4
2025/06/27 14:30,11.5160,11.5634,11.4970,11.5539,139840.0000,170054614.5000,0.0379,0.0033,0.0058,13.0000,nan,nan,nan,nan
2025/06/27 15:00,11.5539,11.5634,11.5254,11.5634,194344.0000,236601270.4500,0.0095,0.0008,0.0033,15.0000,nan,nan,nan,nan
2025/06/30 10:00,11.5065,11.5349,11.3833,11.4212,573214.0000,692127757.9200,-0.1422,-0.0123,0.0131,13.0000,nan,nan,nan,nan
2025/06/30 10:30,11.4117,11.4212,11.3548,11.4022,222966.0000,267921821.5200,-0.0190,-0.0017,0.0058,13.0000,nan,nan,nan,nan
2025/06/30 11:00,11.4117,11.4496,11.3927,11.4022,101511.0000,122258512.9200,0.0000,0.0000,0.0050,13.0000,11.4686,nan,nan,nan
2025/06/30 11:30,11.4022,11.4022,11.3454,11.3454,149395.0000,179196090.0000,-0.0569,-0.0050,0.0050,14.0000,11.4269,nan,nan,nan
2025/06/30 13:30,11.3454,11.4117,11.3359,11.3833,124496.0000,149403344.7800,0.0379,0.0033,0.0067,13.0000,11.3908,nan,nan,nan
2025/06/30 14:00,11.3833,11.4307,11.3643,11.4117,96000.0000,115475819.2200,0.0284,0.0025,0.0058,13.0000,11.3890,nan,nan,nan
2025/06/30 14:30,11.4117,11.4591,11.4022,11.4496,97119.0000,117052447.2200,0.0379,0.0033,0.0050,13.0000,11.3984,nan,nan,nan
2025/06/30 15:00,11.4496,11.4496,11.4212,11.4401,140119.0000,169056583.3500,-0.0095,-0.0008,0.0025,15.0000,11.4060,11.4373,nan,nan
2025/07/01 10:00,11.4307,11.5634,11.4307,11.5254,346482.0000,420438931.0400,0.0853,0.0075,0.0116,13.0000,11.4420,11.4344,nan,nan
2025/07/01 10:30,11.5349,11.5634,11.5160,11.5254,161279.0000,196260195.2400,0.0000,0.0000,0.0041,13.0000,11.4705,11.4307,nan,nan
2025/07/01 11:00,11.5254,11.6013,11.5160,11.5918,175883.0000,214489666.1200,0.0663,0.0058,0.0074,13.0000,11.5065,11.4477,nan,nan
2025/07/01 11:30,11.6013,11.6297,11.5918,11.6013,160610.0000,196712116.5700,0.0095,0.0008,0.0033,14.0000,11.5368,11.4676,nan,nan
2025/07/01 13:30,11.6013,11.6107,11.5634,11.5823,116969.0000,143069765.1100,-0.0190,-0.0016,0.0041,13.0000,11.5652,11.4856,nan,nan
2025/07/01 14:00,11.5823,11.6107,11.5823,11.5823,71960.0000,88068287.9400,0.0000,0.0000,0.0025,13.0000,11.5766,11.5093,nan,nan
2025/07/01 14:30,11.5823,11.6866,11.5823,11.6676,162084.0000,199109990.2400,0.0853,0.0074,0.0090,13.0000,11.6051,11.5378,nan,nan
2025/07/01 15:00,11.6676,11.6771,11.6202,11.6581,159074.0000,195657798.2100,-0.0095,-0.0008,0.0049,15.0000,11.6183,11.5624,nan,nan
2025/07/02 10:00,11.6676,11.7529,11.5918,11.6581,374643.0000,461084954.2100,0.0000,0.0000,0.0138,13.0000,11.6297,11.5833,nan,nan
2025/07/02 10:30,11.6581,11.7434,11.6581,11.7150,190119.0000,234840001.9100,0.0569,0.0049,0.0073,13.0000,11.6562,11.6107,11.5240,nan
2025/07/02 11:00,11.7150,11.7529,11.6960,11.7245,121733.0000,150715431.5000,0.0095,0.0008,0.0049,13.0000,11.6847,11.6306,11.5325,nan
2025/07/02 11:30,11.7245,11.7624,11.7150,11.7245,79289.0000,98192471.9000,-0.0000,-0.0000,0.0040,14.0000,11.6960,11.6506,11.5406,nan
2025/07/02 13:30,11.7245,11.7434,11.6866,11.6866,115588.0000,142792176.0000,-0.0379,-0.0032,0.0049,13.0000,11.7017,11.6600,11.5539,nan
2025/07/02 14:00,11.6960,11.7434,11.6866,11.7245,127765.0000,158027346.8000,0.0379,0.0032,0.0049,13.0000,11.7150,11.6724,11.5700,nan
2025/07/02 14:30,11.7245,11.7340,11.7055,11.7055,93284.0000,115329457.1400,-0.0190,-0.0016,0.0024,13.0000,11.7131,11.6847,11.5852,nan
2025/07/02 15:00,11.7150,11.7245,11.6771,11.6771,97991.0000,120860373.0400,-0.0284,-0.0024,0.0040,15.0000,11.7036,11.6942,11.6017,nan
2025/07/03 10:00,11.6866,11.7719,11.6392,11.7529,258934.0000,319601726.5800,0.0758,0.0065,0.0114,13.0000,11.7093,11.7027,11.6202,nan
2025/07/03 10:30,11.7624,11.7624,11.6392,11.6771,160444.0000,197862648.4200,-0.0758,-0.0065,0.0105,13.0000,11.7074,11.7046,11.6335,nan
2025/07/03 11:00,11.6866,11.7055,11.6771,11.6960,50502.0000,62296308.0000,0.0190,0.0016,0.0024,13.0000,11.7017,11.7084,11.6458,nan
2025/07/03 11:30,11.6960,11.7340,11.6866,11.7245,61434.0000,75932049.4700,0.0284,0.0024,0.0041,14.0000,11.7055,11.7093,11.6600,nan
2025/07/03 13:30,11.7245,11.7434,11.7055,11.7434,64129.0000,79349820.7600,0.0190,0.0016,0.0032,13.0000,11.7188,11.7112,11.6709,nan
2025/07/03 14:00,11.7340,11.7434,11.7150,11.7150,60415.0000,74767470.0000,-0.0284,-0.0024,0.0024,13.0000,11.7112,11.7103,11.6804,nan
2025/07/03 14:30,11.7245,11.7340,11.7055,11.7055,64561.0000,79788424.1000,-0.0095,-0.0008,0.0024,13.0000,11.7169,11.7122,11.6861,nan
2025/07/03 15:00,11.7055,11.7150,11.6960,11.7055,73667.0000,90947559.9500,0.0000,0.0000,0.0016,15.0000,11.7188,11.7103,11.6913,nan
2025/07/04 10:00,11.7055,11.7434,11.6581,11.7340,232971.0000,287727083.8300,0.0284,0.0024,0.0073,13.0000,11.7207,11.7131,11.6989,nan
2025/07/04 10:30,11.7245,11.8287,11.7245,11.8098,267531.0000,332594085.1700,0.0758,0.0065,0.0089,13.0000,11.7340,11.7264,11.7103,nan
2025/07/04 11:00,11.8098,11.9046,11.8003,11.8951,263573.0000,329813464.4000,0.0853,0.0072,0.0088,13.0000,11.7700,11.7406,11.7216,nan
2025/07/04 11:30,11.9046,11.9330,11.8856,11.9046,179223.0000,225275855.6700,0.0095,0.0008,0.0040,14.0000,11.8098,11.7633,11.7340,nan
2025/07/04 13:30,11.9140,12.0562,11.8951,12.0278,381167.0000,482141032.7000,0.1232,0.0104,0.0135,13.0000,11.8742,11.7965,11.7524,nan
2025/07/04 14:00,12.0278,12.0278,11.9235,11.9235,139131.0000,175824424.4300,-0.1043,-0.0087,0.0087,13.0000,11.9121,11.8164,11.7629,nan
2025/07/04 14:30,11.9330,11.9330,11.8572,11.8951,160866.0000,201802970.6300,-0.0284,-0.0024,0.0064,13.0000,11.9292,11.8316,11.7714,nan
2025/07/04 15:00,11.8856,11.9425,11.8761,11.9425,150871.0000,189695138.7900,0.0474,0.0040,0.0056,15.0000,11.9387,11.8543,11.7823,nan
2025/07/07 10:00,11.9425,12.0941,11.9425,12.0847,469282.0000,594939437.3100,0.1422,0.0119,0.0127,13.0000,11.9747,11.8922,11.8022,nan
2025/07/07 10:30,12.0941,12.0941,11.9993,12.0752,166744.0000,211777029.3400,-0.0095,-0.0008,0.0078,13.0000,11.9842,11.9292,11.8197,nan
2025/07/07 11:00,12.0847,12.1510,12.0183,12.0373,272475.0000,347911517.9600,-0.0379,-0.0031,0.0110,13.0000,12.0069,11.9595,11.8363,nan
2025/07/07 11:30,12.0373,12.0373,11.9709,12.0183,152960.0000,193742906.9000,-0.0190,-0.0016,0.0055,14.0000,12.0316,11.9804,11.8534,nan
2025/07/07 13:30,12.0183,12.0847,11.9614,12.0752,103806.0000,131808999.4900,0.0569,0.0047,0.0103,13.0000,12.0581,11.9984,11.8695,nan
2025/07/07 14:00,12.0752,12.1131,12.0752,12.1036,81060.0000,103470387.1100,0.0284,0.0024,0.0031,13.0000,12.0619,12.0183,11.8908,nan
2025/07/07 14:30,12.1036,12.1226,12.0847,12.0847,112662.0000,143887735.0000,-0.0190,-0.0016,0.0031,13.0000,12.0638,12.0240,11.9103,nan
2025/07/07 15:00,12.0941,12.1131,12.0847,12.1131,136418.0000,174217838.1600,0.0284,0.0024,0.0024,15.0000,12.0790,12.0429,11.9297,nan
2025/07/08 10:00,12.0847,12.1700,12.0373,12.0847,300292.0000,383123583.8400,-0.0284,-0.0023,0.0110,13.0000,12.0922,12.0619,11.9467,nan
2025/07/08 10:30,12.0752,12.1036,12.0373,12.0657,104019.0000,132465304.5100,-0.0190,-0.0016,0.0055,13.0000,12.0903,12.0742,11.9643,nan
2025/07/08 11:00,12.0657,12.0752,11.9899,12.0373,201067.0000,254977312.4000,-0.0284,-0.0024,0.0071,13.0000,12.0771,12.0695,11.9809,nan
2025/07/08 11:30,12.0183,12.0562,11.9993,12.0467,107247.0000,136120361.0000,0.0095,0.0008,0.0047,14.0000,12.0695,12.0666,11.9979,nan
2025/07/08 13:30,12.0467,12.0657,12.0278,12.0373,98549.0000,125256926.0000,-0.0095,-0.0008,0.0031,13.0000,12.0543,12.0666,12.0131,nan
